HOUSING,HEALTH,TRANSPORTATION,RECREATIONAL,FOOD_SERV,FINANCIAL,OTHER
segudo de casa,salud,metro,descanso,hoteles,comisiones bancarias,telecomunicaciones
decoración interior,seguro de gastos medicos,avion,videojuegos,moteles,creditos,seguro de vida
agencia bienes raices,doctores,renta carro,pelicula en linea,restaurante,,servicios de asistencia
,celular,,comprar película,restauracion,,
,conexión inalambrica,,mirar pelicula,terraza,,
,,,venta de boletos,bienestar,,
