FOODS,CLOTHING,GAS_ENERGY,OTHER
Alimentos y bebidas,ropa,electricidad,medicinas
comida,ropa segunda mano,pago luz,cuidado del cuerpo
bebidas,zapatos,gasolina,cuidado facial
,zapatos segunda mano ,pago agua,productos de belleza
,lenceria,,cigarros
,ropa interior,,
,playeras,,
